,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
498,7,3,4,0.11,2015,0,1500.0,0,2,82.17,Bueno
563,0,16,0,0.0,2016,1,1.0,0,0,81.83,Bueno
444,0,16,0,0.0,2014,1,1260.0,0,0,82.42,Bueno
2921,3,3,4,0.11,2014,1,1300.0,0,2,87.17,Premium
280,1,1,4,0.11,2015,1,1200.0,0,0,83.17,Bueno
342,15,15,0,0.0,2014,1,775.0,0,9,82.92,Bueno
980,1,7,4,0.0,2013,1,1100.0,0,2,84.5,Bueno
601,11,15,4,0.13,2012,1,1650.0,1,13,81.67,Bueno
680,11,15,4,0.13,2012,1,1650.0,5,16,81.08,Bueno
1909,11,15,4,0.14,2012,1,1550.0,0,8,79.17,Estándar
2676,15,0,3,0.12,2015,1,1000.0,0,0,86.08,Premium
2895,4,0,4,0.1,2013,0,1500.0,0,3,85.58,Premium
2533,11,7,4,0.13,2012,1,1320.0,0,0,87.17,Premium
28,5,7,0,0.12,2015,1,1900.0,0,7,85.5,Premium
2493,14,7,4,0.0,2014,1,2019.0,0,0,87.25,Premium
1912,15,16,4,0.0,2016,1,650.0,3,4,78.0,Estándar
805,6,0,4,0.1,2013,1,371.5940262115209,0,2,79.42,Estándar
1034,6,3,4,0.12,2015,1,520.2316366961293,0,7,84.0,Bueno
2341,6,0,4,0.12,2013,1,399.46357817738493,1,8,78.75,Estándar
784,6,0,4,0.1,2017,1,1700.0,0,2,79.83,Estándar
1178,6,0,4,0.11,2015,1,1500.0,0,1,83.17,Bueno
1157,11,15,0,0.12,2015,0,1261.0,0,2,83.25,Bueno
878,11,15,4,0.12,2013,1,1700.0,0,7,74.67,Estándar
2702,3,3,4,0.1,2014,0,1300.0,0,2,85.33,Premium
2356,11,3,4,0.13,2012,1,1200.0,1,3,78.5,Estándar
1092,6,0,4,0.11,2013,1,399.46357817738493,0,2,83.67,Bueno
2961,14,7,4,0.0,2014,1,2019.0,0,0,87.25,Premium
1828,1,15,4,0.0,2013,1,1850.0,0,5,78.67,Estándar
2363,15,15,4,0.11,2014,0,850.0,0,0,79.25,Estándar
1705,11,15,4,0.14,2012,1,750.0,0,19,79.33,Estándar
1317,6,0,4,0.1,2016,1,371.5940262115209,0,2,82.5,Bueno
1893,6,0,4,0.1,2013,1,371.5940262115209,0,2,79.42,Estándar
135,6,0,4,0.1,2014,0,1550.0,0,10,84.08,Bueno
234,2,3,4,0.0,2018,1,439.0,0,1,83.42,Bueno
1219,0,16,3,0.12,2014,0,1250.0,0,4,83.0,Bueno
392,2,3,4,0.11,2012,1,1775.0,0,3,82.75,Bueno
1896,11,7,4,0.11,2012,1,1100.0,0,12,80.0,Estándar
1469,2,3,4,0.0,2013,0,1775.0,2,0,81.83,Bueno
2184,6,0,4,0.11,2012,1,399.46357817738493,0,8,76.33,Estándar
2918,18,7,4,0.1,2012,0,1650.0,0,0,86.0,Premium
594,0,0,4,0.1,2015,1,1260.0,0,2,81.67,Bueno
2403,9,12,0,0.11,2014,0,1754.0,0,2,86.08,Premium
2421,1,1,0,0.1,2015,1,1700.0,0,0,85.33,Premium
1239,14,7,4,0.0,2014,0,1600.0,0,0,82.92,Bueno
1556,15,15,3,0.11,2014,1,650.0,0,0,81.25,Bueno
