Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Calidad
11,7,4,0.12,2012,1,1200.0,1,11,0
0,6,0,0.12,2012,1,1100.0,0,3,1
0,6,0,0.12,2012,1,1000.0,0,1,1
11,8,4,0.11,2012,1,1100.0,4,20,0
15,15,3,0.11,2014,1,700.0,0,0,1
18,0,4,0.12,2015,1,1473.0,0,6,1
9,12,0,0.11,2014,0,1754.0,0,2,2
12,2,4,0.0,2015,1,371.5940262115209,0,4,1
10,4,4,0.12,2014,0,1422.0,0,0,1
11,7,4,0.13,2012,1,1320.0,0,0,2
11,15,4,0.14,2012,1,1300.0,1,17,1
6,0,4,0.11,2013,1,399.46357817738493,0,2,1
7,2,4,0.11,2016,0,1450.0,0,2,1
3,3,4,0.11,2014,1,1300.0,0,2,2
11,0,4,0.11,2012,1,900.0,0,20,0
6,2,4,0.11,2015,1,1550.0,0,7,1
13,3,1,0.11,2017,1,1100.0,0,3,1
9,12,0,0.1,2014,1,1900.0,0,3,2
11,15,4,0.15,2012,1,1300.0,0,0,1
11,8,4,0.11,2012,1,1100.0,4,20,0
5,4,0,0.1,2014,1,1606.5,0,5,1
9,12,4,0.11,2013,1,1860.0,0,1,2
15,15,4,0.08,2014,1,1200.0,0,0,1
18,11,4,0.12,2013,1,1950.0,0,1,2
3,3,4,0.09,2016,0,1700.0,0,2,1
15,15,4,0.1,2013,0,600.0,0,0,0
14,4,4,0.08,2017,0,1600.0,0,0,2
6,0,4,0.09,2014,0,1500.0,0,4,1
11,15,4,0.12,2013,1,1300.0,0,3,1
6,0,0,0.1,2014,1,371.5940262115209,0,1,1
0,0,3,0.12,2011,1,1300.0,0,2,1
15,15,4,0.0,2014,1,700.0,0,0,1
0,16,0,0.0,2016,1,1.0,0,0,1
2,7,4,0.0,2016,0,1500.0,0,4,1
11,15,4,0.16,2012,1,1400.0,2,4,0
5,7,0,0.1,2014,1,1822.5,0,4,2
3,3,4,0.11,2014,1,1300.0,0,2,2
0,0,3,0.11,2011,0,1250.0,0,1,2
18,11,4,0.12,2013,1,1600.0,0,1,2
11,3,4,0.12,2014,1,1200.0,1,13,1
