,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
120,6,0,4,0.1,2016,1,3280.0,0,2,84.17,Bueno
121,2,3,4,0.0,2015,0,1775.0,0,0,84.17,Bueno
122,13,3,0,0.12,2015,0,1000.0,0,0,84.17,Bueno
123,3,3,4,0.0,2014,0,1850.0,0,0,84.17,Bueno
124,5,4,0,0.1,2014,1,1606.5,0,5,84.17,Bueno
125,16,7,4,0.13,2014,1,1400.0,0,0,84.17,Bueno
126,2,7,4,0.12,2015,1,1530.0,0,4,84.17,Bueno
127,9,12,4,0.08,2013,1,250.5,0,0,84.17,Bueno
128,0,6,0,0.11,2012,1,1038.5,0,3,84.17,Bueno
129,6,0,4,0.11,2013,1,399.46357817738493,0,4,84.17,Bueno
130,4,0,0,0.11,2013,0,1500.0,0,2,84.17,Bueno
131,2,3,4,0.0,2012,1,1750.0,0,2,84.17,Bueno
132,18,7,4,0.11,2012,1,1600.0,0,1,84.17,Bueno
133,2,3,4,0.0,2018,1,442.0,1,3,84.08,Bueno
134,15,15,4,0.1,2016,0,968.0,0,4,84.08,Bueno
135,6,0,4,0.1,2014,0,1550.0,0,10,84.08,Bueno
136,11,15,4,0.11,2012,1,1480.0,1,10,84.08,Bueno
137,5,4,0,0.11,2017,1,1800.0,3,1,84.0,Bueno
138,7,3,4,0.1,2017,1,1500.0,0,5,84.0,Bueno
139,6,3,4,0.12,2015,1,520.2316366961293,0,7,84.0,Bueno
140,2,7,4,0.11,2015,1,1600.0,2,7,84.0,Bueno
141,6,0,0,0.1,2014,1,371.5940262115209,0,1,84.0,Bueno
142,6,0,1,0.1,2014,1,371.5940262115209,0,0,84.0,Bueno
143,2,3,0,0.12,2014,1,1450.0,0,0,84.0,Bueno
144,2,3,4,0.12,2014,1,1775.0,0,3,84.0,Bueno
145,5,7,0,0.09,2013,1,1550.0,4,40,84.0,Bueno
146,0,16,0,0.1,2014,1,1260.0,0,0,84.0,Bueno
147,2,3,4,0.11,2013,1,1700.0,0,1,84.0,Bueno
148,9,13,4,0.0,2012,1,1200.0,0,2,84.0,Bueno
149,9,12,4,0.0,2012,0,1650.0,0,0,84.0,Bueno
150,18,7,4,0.1,2012,1,1700.0,10,26,84.0,Bueno
151,0,0,0,0.0,2018,1,890.0,0,3,83.92,Bueno
152,11,6,4,0.11,2017,1,1300.0,0,5,83.92,Bueno
153,17,1,0,0.1,2015,0,1350.0,0,1,83.92,Bueno
154,0,0,0,0.11,2016,1,934.0,0,7,83.92,Bueno
155,15,15,4,0.11,2015,1,1200.0,0,3,83.92,Bueno
156,2,3,4,0.0,2014,1,1775.0,0,1,83.92,Bueno
157,15,15,4,0.06,2014,1,950.0,0,0,83.92,Bueno
158,2,3,0,0.12,2014,1,1550.0,0,3,83.92,Bueno
159,11,15,4,0.12,2012,0,900.0,10,32,83.92,Bueno
160,11,15,4,0.0,2012,1,1400.0,0,2,83.92,Bueno
161,2,3,4,0.0,2017,1,2527.0,1,6,83.83,Bueno
162,3,3,4,0.0,2015,0,1850.0,0,0,83.83,Bueno
163,6,0,4,0.11,2016,1,1500.0,0,6,83.83,Bueno
164,0,16,0,0.0,2016,1,1.0,0,0,83.83,Bueno
165,15,15,4,0.0,2014,1,525.0,0,1,83.83,Bueno
166,0,0,3,0.0,2015,1,1200.0,0,1,83.83,Bueno
167,3,2,4,0.1,2013,1,1300.0,0,3,83.83,Bueno
168,6,0,4,0.1,2014,1,371.5940262115209,0,1,83.83,Bueno
169,0,16,0,0.1,2014,1,1260.0,0,0,83.83,Bueno
170,2,3,4,0.11,2013,1,1750.0,0,1,83.83,Bueno
171,6,0,4,0.11,2013,1,399.46357817738493,0,3,83.83,Bueno
172,11,0,0,0.1,2012,1,1218.0,0,2,83.83,Bueno
