,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points
310,6,3,4,0.11,2012,0,1300.0,0,1,83.75
314,0,0,0,0.11,2018,1,890.0,0,2,83.67
315,9,12,4,0.11,2017,0,1700.0,0,0,83.67
316,7,3,4,0.1,2016,1,1400.0,0,2,83.67
317,13,3,4,0.1,2016,1,1250.0,0,3,83.67
318,0,0,0,0.11,2016,1,934.0,0,3,83.67
319,15,3,0,0.1,2015,0,1200.0,0,0,83.67
323,6,0,4,0.1,2014,1,413.49125266686985,0,0,83.67
324,2,3,4,0.0,2013,1,1750.0,0,3,83.67
325,2,3,4,0.0,2013,1,1900.0,0,1,83.67
326,6,0,4,0.12,2013,1,399.46357817738493,1,3,83.67
327,6,0,4,0.11,2013,1,399.46357817738493,0,2,83.67
328,2,3,4,0.11,2012,1,1750.0,0,1,83.67
329,6,3,0,0.11,2012,1,1450.0,0,1,83.67
330,6,0,4,0.11,2012,1,399.46357817738493,0,13,83.67
331,11,15,4,0.12,2012,1,1100.0,4,11,83.67
332,8,15,4,0.12,2012,1,1400.0,0,0,83.67
333,6,3,4,0.1,2012,1,464.49253276440106,0,0,83.67
335,0,0,0,0.11,2018,1,890.0,0,5,83.58
336,6,3,4,0.11,2016,1,343.9102712587626,0,0,83.58
338,1,1,4,0.1,2015,1,1100.0,0,4,83.58
339,2,3,4,0.12,2015,1,1775.0,0,3,83.58
340,11,3,4,0.12,2014,1,1200.0,1,13,83.58
342,18,11,4,0.12,2013,1,1800.0,0,5,83.58
343,2,3,0,0.0,2014,1,1600.0,0,0,83.58
344,2,3,4,0.12,2014,1,1550.0,0,1,83.58
346,15,15,1,0.11,2014,1,1000.0,0,0,83.58
347,2,3,4,0.11,2012,1,1775.0,0,3,83.58
349,2,3,0,0.11,2012,1,2136.0,0,4,83.58
350,0,2,3,0.12,2012,0,1100.0,0,2,83.58
351,2,3,4,0.0,2016,0,1799.0,0,5,83.5
353,3,3,4,0.0,2015,0,1850.0,0,0,83.5
354,2,3,0,0.0,2016,1,1000.0,0,0,83.5
355,6,0,4,0.1,2016,0,371.5940262115209,0,5,83.5
356,2,3,4,0.12,2015,1,1775.0,0,4,83.5
357,16,10,4,0.13,2015,1,1400.0,0,21,83.5
358,8,14,3,0.13,2015,0,1500.0,0,8,83.5
361,2,3,4,0.11,2014,1,1850.0,0,0,83.5
362,6,3,4,0.1,2013,1,1400.0,0,0,83.5
364,7,3,0,0.1,2015,1,1350.0,0,3,83.5
365,2,3,4,0.0,2013,1,1750.0,1,1,83.5
366,2,3,4,0.11,2013,1,1750.0,0,2,83.5
367,11,0,0,0.13,2012,1,1170.0,0,14,83.5
368,11,15,3,0.11,2012,1,940.0,0,12,83.5
369,11,8,4,0.12,2012,1,1400.0,0,0,83.5
370,6,3,4,0.1,2012,1,464.49253276440106,0,5,83.5
371,2,3,4,0.11,2012,1,1775.0,0,0,83.5
372,6,0,4,0.0,2012,1,427.333130143249,3,12,83.5
375,2,3,4,0.0,2018,1,439.0,0,1,83.42
376,6,0,4,0.1,2017,1,1700.0,0,3,83.42
377,2,3,4,0.11,2016,1,442.0,0,2,83.42
378,3,3,4,0.09,2016,0,1850.0,0,4,83.42
380,18,11,4,0.11,2015,1,1800.0,0,1,83.42
381,17,1,4,0.13,2015,0,1200.0,0,0,83.42
383,2,3,0,0.12,2015,1,442.0,4,0,83.42
385,16,0,4,0.13,2014,1,1600.0,0,4,83.42
386,2,3,4,0.12,2015,1,1813.0,0,1,83.42
387,6,0,0,0.1,2013,1,371.5940262115209,0,1,83.42
388,6,3,4,0.1,2014,1,1500.0,0,2,83.42
389,6,0,4,0.11,2013,1,399.46357817738493,0,0,83.42
